Location,Year,Month,DaysAbove35
Badgerys Creek,2016,2,3.0
Badgerys Creek,2016,3,1.0
Badgerys Creek,2016,4,1.0
Badgerys Creek,2016,5,0.0
Badgerys Creek,2016,6,0.0
Badgerys Creek,2016,7,0.0
Badgerys Creek,2016,8,0.0
Badgerys Creek,2016,9,0.0
Badgerys Creek,2016,10,0.0
Badgerys Creek,2016,11,4.0
Badgerys Creek,2016,12,3.0
Badgerys Creek,2017,1,13.0
Badgerys Creek,2017,2,10.0
Badgerys Creek,2017,3,0.0
Badgerys Creek,2017,4,0.0
Badgerys Creek,2017,5,0.0
Badgerys Creek,2017,6,0.0
Cobar,2009,1,21.0
Cobar,2009,2,11.0
Cobar,2009,3,5.0
Cobar,2009,4,0.0
Cobar,2009,5,0.0
Cobar,2009,6,0.0
Cobar,2009,7,0.0
Cobar,2009,8,0.0
Cobar,2009,9,0.0
Cobar,2009,10,3.0
Cobar,2009,11,14.0
Cobar,2009,12,11.0
Cobar,2010,1,19.0
Cobar,2010,2,2.0
Cobar,2010,3,0.0
Cobar,2010,4,0.0
Cobar,2010,5,0.0
Cobar,2010,6,0.0
Cobar,2010,7,0.0
Cobar,2010,8,0.0
Cobar,2010,9,0.0
Cobar,2010,10,0.0
Cobar,2010,11,1.0
Cobar,2010,12,2.0
Cobar,2011,1,17.0
Cobar,2011,2,13.0
Cobar,2011,3,1.0
Cobar,2011,5,0.0
Cobar,2011,6,0.0
Cobar,2011,7,0.0
Cobar,2011,8,0.0
Cobar,2011,9,0.0
Cobar,2011,10,1.0
Cobar,2011,11,7.0
Cobar,2011,12,1.0
Cobar,2012,1,10.0
Cobar,2012,2,2.0
Cobar,2012,3,0.0
Cobar,2012,4,1.0
Cobar,2012,5,0.0
Cobar,2012,6,0.0
Cobar,2012,7,0.0
Cobar,2012,8,0.0
Cobar,2012,9,0.0
Cobar,2012,10,2.0
Cobar,2012,11,8.0
Cobar,2013,1,24.0
Cobar,2013,3,1.0
Cobar,2013,4,0.0
Cobar,2013,5,0.0
Cobar,2013,6,0.0
Cobar,2013,7,0.0
Cobar,2013,8,0.0
Cobar,2013,9,0.0
Cobar,2013,10,4.0
Cobar,2013,11,5.0
Cobar,2013,12,14.0
Cobar,2014,1,19.0
Cobar,2014,2,16.0
Cobar,2014,3,0.0
Cobar,2014,4,0.0
Cobar,2014,5,0.0
Cobar,2014,6,0.0
Cobar,2014,7,0.0
Cobar,2014,8,0.0
Cobar,2014,9,0.0
Cobar,2014,10,7.0
Cobar,2014,11,12.0
Cobar,2014,12,11.0
Cobar,2015,1,10.0
Cobar,2015,2,16.0
Cobar,2015,3,7.0
Cobar,2015,4,0.0
Cobar,2015,5,0.0
Cobar,2015,6,0.0
Cobar,2015,7,0.0
Cobar,2015,8,0.0
Cobar,2015,9,0.0
Cobar,2015,10,6.0
Cobar,2015,11,5.0
Cobar,2015,12,16.0
Cobar,2016,1,13.0
Cobar,2016,2,19.0
Cobar,2016,3,13.0
Cobar,2016,4,1.0
Cobar,2016,5,0.0
Cobar,2016,6,0.0
Cobar,2016,7,0.0
Cobar,2016,8,0.0
Cobar,2016,9,0.0
Cobar,2016,10,0.0
Cobar,2016,11,8.0
Cobar,2016,12,18.0
Cobar,2017,1,23.0
Cobar,2017,2,18.0
Cobar,2017,3,13.0
Cobar,2017,4,0.0
Cobar,2017,5,0.0
Cobar,2017,6,0.0
Coffs Harbour,2009,1,0.0
Coffs Harbour,2009,2,0.0
Coffs Harbour,2009,3,0.0
Coffs Harbour,2009,4,0.0
Coffs Harbour,2009,5,0.0
Coffs Harbour,2009,6,0.0
Coffs Harbour,2009,7,0.0
Coffs Harbour,2009,8,0.0
Coffs Harbour,2009,9,0.0
Coffs Harbour,2009,10,0.0
Coffs Harbour,2009,11,1.0
Coffs Harbour,2009,12,0.0
Coffs Harbour,2010,1,0.0
Coffs Harbour,2010,2,0.0
Coffs Harbour,2010,3,0.0
Coffs Harbour,2010,4,0.0
Coffs Harbour,2010,5,0.0
Coffs Harbour,2010,6,0.0
Coffs Harbour,2010,7,0.0
Coffs Harbour,2010,8,0.0
Coffs Harbour,2010,9,0.0
Coffs Harbour,2010,10,0.0
Coffs Harbour,2010,11,0.0
Coffs Harbour,2010,12,0.0
Coffs Harbour,2011,1,0.0
Coffs Harbour,2011,2,0.0
Coffs Harbour,2011,3,0.0
Coffs Harbour,2011,5,0.0
Coffs Harbour,2011,6,0.0
Coffs Harbour,2011,7,0.0
Coffs Harbour,2011,8,0.0
Coffs Harbour,2011,9,0.0
Coffs Harbour,2011,10,0.0
Coffs Harbour,2011,11,0.0
Coffs Harbour,2011,12,0.0
Coffs Harbour,2012,1,0.0
Coffs Harbour,2012,2,0.0
Coffs Harbour,2012,3,0.0
Coffs Harbour,2012,4,0.0
Coffs Harbour,2012,5,0.0
Coffs Harbour,2012,6,0.0
Coffs Harbour,2012,7,0.0
Coffs Harbour,2012,8,0.0
Coffs Harbour,2012,9,0.0
Coffs Harbour,2012,10,1.0
Coffs Harbour,2012,11,0.0
Coffs Harbour,2013,1,1.0
Coffs Harbour,2013,3,0.0
Coffs Harbour,2013,4,0.0
Coffs Harbour,2013,5,0.0
Coffs Harbour,2013,6,0.0
Coffs Harbour,2013,7,0.0
Coffs Harbour,2013,8,0.0
Coffs Harbour,2013,9,0.0
Coffs Harbour,2013,10,0.0
Coffs Harbour,2013,11,0.0
Coffs Harbour,2013,12,0.0
Coffs Harbour,2014,1,0.0
Coffs Harbour,2014,2,0.0
Coffs Harbour,2014,3,0.0
Coffs Harbour,2014,4,0.0
Coffs Harbour,2014,5,0.0
Coffs Harbour,2014,6,0.0
Coffs Harbour,2014,7,0.0
Coffs Harbour,2014,8,0.0
Coffs Harbour,2014,9,0.0
